Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
VALLARTA PORT,CHIHUAHUA,33,215000,COMPUTER,GIRL TABLE,21,FLAT,BEAUTY CULTURE,6647,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,SALTILLO,38,14000,EMPLOYEE,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,EMPLOYEE,7500,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,JUCHIQUE DE FERRER,32,6700,EMPLOYEE,HIGH PROFIT,28,XALAPA-ENRIQUEZ,HOUSEWIFE,24000,HIGH SCHOOL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,10000,BUSINESSMAN,OTATES,47,XALAPA-ENRIQUEZ,BUSINESSMAN,10000,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,MARTINEZ DE LA TORRE,26,2700,OPERATOR,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,Professional,10,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,ORIZABA,23,10280,EMPLOYEE,VERACRUZ,22,XALAPA-ENRIQUEZ,HOUSEWIFE,9100,HIGH SCHOOL,OTHER,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,46,5600,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EMPLOYEE,18000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,OTATITLAN,28,20000,LIC. IN RIGHT,FEDERAL DISTRICT,26,XALAPA-ENRIQUEZ,LIC. IN RIGHT,3.5,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,THE ZAPOTE,41,4000,EMPLOYEE,CHAPULTEPEC,36,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,63,5,RESTAURANT,FEDERAL DISTRICT,47,COSOLEACAQUE,COSMIATRIA,3990,OTHER,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,53,4000,EMPLOYEE,XALAPA-ENRIQUEZ,48,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PREPARATORY,PROFESSIONAL,OTHER
CHICONTEPEC,POLOLCINGO,63,412362,STEVEDORE,JUAN MARCOS,62,WATER SAW,JOURNALIST,4826,PROFESSIONAL,PRIMARY,MOTHER
THE CASTLE,BATH ROBE,22,11309,EMPLOYEE SAFETY,TULA,37,SALMORAL,BANK CLERK,12500,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,8000,ARCHITECT,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,TEACHER,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
URSULO GALVAN,VANILLAS,22,5600,UNEMPLOYED,GUARANTEES,24,MOZOMBOA,VET,1300,PRIMARY,PRIMARY,OTHER
BARRANCA GRANDE,SANTA CRUZ,35,4200,LIC. PHYSICAL EDUCATION,PACHUCA,51,SOLIDARITY,BEAUTY CULTURE,7100,HIGH SCHOOL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,57,30000,BUILDER,GUADALAJARA,64,XALAPA-ENRIQUEZ,VOLUNTEER PROMOTER,23000,PROFESSIONAL,PROFESSIONAL,DAD
SANTIAGO TUXTLA,ACCEPT,64,5900,RETIRED DOCTOR,ACUITLAPILCO,32,THE SPINAL,ADMINISTRATOR,4815,OTHER,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,49,25000,EMPLOYEE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,EMPLOYEE,2800,PROFESSIONAL,PROFESSIONAL,MOTHER
VILLAFLORES,BIG CORNER,44,5000,EMPLOYEE,JESUS ​​MARIA GARZA,45,VILLAFLORES,TEACHER,7000,PREPARATORY,PROFESSIONAL,MOTHER
NATIONAL BRIDGE,PAPANTLA,69,28000,REPORTER,ETLANTEPEC,23,NAOLINCO,CONSULTANT,4850,HIGH SCHOOL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,3000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,HOUSEWIFE,5198,PRIMARY,OTHER,MOTHER
SALMORAL,LIBERTY,35,11309,ANESTHECIOLOGICAL DOCTOR,EL PALMAR,76,OTILPAN,GENERAL DOCTOR,45000,HIGH SCHOOL,PRIMARY,OTHER
THE SPINAL,VILLA DE YECUATLA,69,1800,COMPUTER,NEW LARGE HOUSES,53,SAN MARCOS,PROMOTION GIRL,1200,WITHOUT SCHOOLING,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,CHETUMAL,34,10000,EMPLOYEE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,TEACHER,3000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,ORIZABA,33,3600,EMPLOYEE,XALAPA-ENRIQUEZ,29,COATEPEC,EMPLOYEE,3400,PROFESSIONAL,PROFESSIONAL,MOTHER
COYOACAN,FEDERAL DISTRICT,41,8500,FRAME,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,COSMETOLOGY,6452,WITHOUT SCHOOLING,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,2240,TEACHER,VALLEY CITY,34,XALAPA-ENRIQUEZ,TEACHER,5500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,75,2200,PENSIONER,ALTOTONGA,50,XALAPA-ENRIQUEZ,BUSINESSMAN,1500,PRIMARY,PROFESSIONAL,MOTHER
COVE,THE COLES,29,2120,PATTERN,PLATON SANCHEZ,63,SALINA CRUZ,VETERINARIAN,2200,HIGH SCHOOL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,4700,MANAGER,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,HOUSEWIFE,4769,HIGH SCHOOL,HIGH SCHOOL,MOTHER
TLAXCALA,BEAUTIFUL VILLA,57,8800,CABINETMAKER,ORANGES,37,XALAPA-ENRIQUEZ,FAMILY DOCTOR,2600,OTHER,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,SAN MARTIN DE LAS PIRAMIDES,49,9500,TEACHER,FEDERAL DISTRICT,21,TEHUACAN,PHOTOGRAPHER,18000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,ROMERILLOS,55,850,PENSIONER,SAINT JOAQUIN,54,XALAPA-ENRIQUEZ,BUSINESSMAN,5000,PRIMARY,PRIMARY,MOTHER
TLAXCALACINGO,THE NARANJILLO,40,1530,FRAME,TEZIUTLAN,40,BOUNDARIES,MASTER'S DEGREE,2000,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,53,10000,BUSINESSMAN,XALAPA-ENRIQUEZ,51,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,SANTIAGO TUXTLA,46,16000,EMPLOYEE,EMILIO CARRANZA,55,XALAPA-ENRIQUEZ,RETIRED,7000,PROFESSIONAL,OTHER,OTHER
TAMPICO,NEW EARTH,53,36000,SCHOOL DIRECTOR,RAFAEL LUCIO,60,THE TRANCAS,RETIRED TEACHER,7200,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,TEMIMILCO CONGREGATION,41,5000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,EMPLOYEE,1600,WITHOUT SCHOOLING,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,CUYOACO,44,3500,EMPLOYEE,CHAPULTEPEC,40,XALAPA-ENRIQUEZ,BUSINESSMAN,4000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,56,10000,ARCHITECT,XALAPA-ENRIQUEZ,48,XALAPA-ENRIQUEZ,BUSINESSMAN,9000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,63,10000,EMPLOYEE,MONTERREY,62,XALAPA-ENRIQUEZ,EMPLOYEE,6400,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XICO,44,2000,BUSINESSMAN,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PRIMARY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,57,8000,EMPLOYEE,XALAPA-ENRIQUEZ,53,XALAPA-ENRIQUEZ,HOUSEWIFE,26693,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,10900,ACCOUNTING ASSISTANT,JUCHIQUE DE FERRER,49,EMILIANO ZAPATA,SEAMSTRESS,4850,PRIMARY,PREPARATORY,OTHER
ACAYUCAN,THE RINCON DE LA PALMA,33,2900,ALBA√ëIL,OLINALA,67,MELCHOR OCAMPO,PUBLIC SINGER,14000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,17000,BUSINESSMAN,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,TEACHER,10500,PREPARATORY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,22,6000,EMPLOYEE,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,PROFESSOR,6000,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,REFORM,33,3500,EMPLOYEE,CORDOVA,27,XALAPA-ENRIQUEZ,EMPLOYEE,2000,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,WALNUTS,46,15000,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EMPLOYEE,7000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,15000,BUSINESSMAN,ACATLAN,46,XALAPA-ENRIQUEZ,BUSINESSMAN,10000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,2800,EXECUTIVE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,RECEPTIONIST,2800,PREPARATORY,HIGH SCHOOL,MOTHER
SALTILLO,JILOTEPEC,32,6800,DECORATOR,POSADAS,24,BANDERILLA,DENTAL PROSTHESIST,4400,WITHOUT SCHOOLING,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,3000,DRIVER,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,HOUSEWIFE,4000,WITHOUT SCHOOLING,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,60000,EMPLOYEE,TLAPACOYAN,48,XALAPA-ENRIQUEZ,HOUSEWIFE,4826,WITHOUT SCHOOLING,PROFESSIONAL,DAD
COATEPEC,XALAPA - ENRIQUEZ,31,4330,EMPLOYEE,XALAPA-ENRIQUEZ,31,XALAPA-ENRIQUEZ,EMPLOYEE,4815,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,THE MINES,51,700,EMPLOYEE,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,EMPLOYEE,6800,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,45,25,BUSINESSMAN,COATZACOALCOS,42,XALAPA-ENRIQUEZ,BUSINESSWOMAN,4000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,10000,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,13000,PROFESSIONAL,PROFESSIONAL,MOTHER
COATEPEC,XALAPA - ENRIQUEZ,33,10000,ADMINISTRATIVE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,EMPLOYEE,15000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,LUCAS MARTIN,48,4000,TEACHER,COLATLAN,42,XALAPA-ENRIQUEZ,TEACHER,11000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,BLUE HILL,50,25441,DOCTOR,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,PUBLIC ACCOUNTANT,6890,PROFESSIONAL,PROFESSIONAL,MOTHER
VERACRUZ,MARTINEZ DE LA TORRE,35,25441,EMPLOYEE,ALTOTONGA,37,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATEPEC,26,32000,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,12500,PRIMARY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,2500,BUSINESSMAN,BEAUTIFUL VILLA,29,XALAPA-ENRIQUEZ,HOUSEWIFE,3100,PREPARATORY,PREPARATORY,MOTHER
CATEMAC,TAPACHULA,56,412362,RAILWAY,ZENTLA,37,THE TALL,PUBLISHER,5198,OTHER,PRIMARY,OTHER
MINATITLAN,FARGO,65,6200,AUTOMOTIVE ELECTRICAL,ORIENTAL,20,JILOTEPEC,AUDITOR,300,OTHER,HIGH SCHOOL,MOTHER
ATTITALAQUIA,APATZINGAN,74,1470,CRAFTSMAN,COLONIA ENRIQUEZ,30,MAPASTEPEC,BROKER,6200,PREPARATORY,PROFESSIONAL,OTHER
PANUCO,THE NORIA,63,5500,BALCONERO,ORIZABA,48,PARIS,LIC. IN COMMUNICATION,6500,PREPARATORY,HIGH SCHOOL,OTHER
TECOLUTILLA,ANGEL R. CABADA,51,3620,SALES REPRESENTATIVE,PE√ëA HIGH,20,MISANTLA,SALES AGENT,4550,HIGH SCHOOL,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,5000,TEACHER,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,TEACHER,75000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,SAN MIGUEL,29,13000,EMPLOYEE,OLD RANCH,27,XALAPA-ENRIQUEZ,HOUSEWIFE,5,HIGH SCHOOL,PREPARATORY,MOTHER
VERACRUZ,VERACRUZ,74,3000,BUSINESSMAN,XALAPA-ENRIQUEZ,67,SAN ANDRES TUXTLA,PENSIONED,6200,HIGH SCHOOL,HIGH SCHOOL,DAD
MAZATLAN,MILPA PASS,27,120000,PEDIATRICIAN,SAN FELIPE DE JESUS,63,EL CARMEN,GRAPHIC DESIGNER,7800,PRIMARY,PREPARATORY,MOTHER
ATTITALAQUIA,CUAHUTITLAN DEL PARRAL,48,1350,STEVEDORE,SAN GABRIEL CHILAC,48,OXTOPULCO,HOUSEWIFE,2600,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,5000,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,BUSINESSMAN,1500,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,AGUASCALIENTES,67,8000,PENSIONER,SANTA ROSALIA,61,XALAPA-ENRIQUEZ,HOUSEWIFE,5900,PROFESSIONAL,HIGH SCHOOL,OTHER
MERIDA,TEOPANCAHUATL,54,600,ING. CHEMICAL,CHAPULTEPEC,20,TUXPAN,TECHNICAL,2480,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,49,3000,ELECTRICAL TECHNICIAN,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,CAPTURIST,11000,PREPARATORY,PREPARATORY,MOTHER
THE SPINAL,ATOYAC DE ALVAREZ,30,16500,WELDER,RAFAEL LUCIO,40,GUSTAVO A. MADERO,ENGINEER,41000,WITHOUT SCHOOLING,OTHER,MOTHER
SAN ANDRES TLALNELHUAYOCAN,TEPETZINTLA,64,7000,LITIGANT,CITLALTEPEC,57,FEDERAL DISTRICT,BODY THERAPIST,1400,WITHOUT SCHOOLING,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,32,10000,EMPLOYEE,ECATEPEC DE MORELOS,29,XALAPA-ENRIQUEZ,EMPLOYEE,1800,PROFESSIONAL,PREPARATORY,MOTHER
LONG BEACH,FEDERAL DISTRICT,37,563218,PROFESSOR,THE WILLOW,38,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PROFESSIONAL,MOTHER
THE BRIDGES,CUERNAVACA,60,4600,TELEPHONIST,NOVILLERO PARADISE,57,THE TRANCAS,ARCHITECT,1440,PRIMARY,HIGH SCHOOL,DAD
THE CONCEPTION,SAINT ANA,78,3240,NURSE,CHIAUTLA DE TAPIA,44,THE ESTANZUELA,BANK CLERK,10151,HIGH SCHOOL,OTHER,OTHER
SARAGOSSA,TLALIXCOYAN,78,7400,PATTERN,LECHUGUILLAS,54,CHOLULA,PROMOTION GIRL,2200,PROFESSIONAL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,MEXICO,42,20000,EMPLOYEE,TUXPAN,42,TANTOCO,PROFESSOR,4100,PRIMARY,HIGH SCHOOL,MOTHER
BEAUTIFUL,ZIMPIZAHUA,72,5900,ALBA√ëIL,CHICHICAXTLE,29,IXTACZOQUITLAN,Senator,4769,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,19,4200,EMPLOYEE,XALAPA-ENRIQUEZ,19,XALAPA-ENRIQUEZ,HOME DUTIES,9600,HIGH SCHOOL,PREPARATORY,DAD
THE LOOKER,REEDBED,42,2145184,PEDIATRICIAN,PADDOCK,47,SAN RAFAEL,REPORTER,8300,OTHER,WITHOUT SCHOOLING,OTHER
MATIAS ROMERO,MATIAS ROMERO,32,5000,ING.,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,LICENSED,850,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,19000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,HOUSEWIFE,6500,PROFESSIONAL,PROFESSIONAL,MOTHER
THE BRIDGES,TEPIC,22,15600,RETIRED DOCTOR,PASSAGE OF SHEEP,39,EMILIANO ZAPATA,PROFESSOR OF ENGLISH,4300,OTHER,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,500,EMPLOYEE,TANTOYUCA,36,XALAPA-ENRIQUEZ,EMPLOYEE,3400,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,56,400,EMPLOYEE,TLAPACOYAN,47,XALAPA-ENRIQUEZ,BUSINESSMAN,3400,PROFESSIONAL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,30,3000,EMPLOYEE,SAUZAL,36,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PROFESSIONAL,DAD
CARMEN CITY,TLALNELHUAYOCAN,66,8700,FRAME,TEPETATES,63,MERIDA,LIC. BUSINESS ADMINISTRATION,850,OTHER,WITHOUT SCHOOLING,DAD
COMALCALCO,CHAVARRILLO,69,8400,ADVERTISING,VILLA AZUETA,32,TEQUISQUIAPAN,PRIVATE TEACHER,11407,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,MERIDA,43,3000,DOCTOR,XALAPA-ENRIQUEZ,55,XALAPA-ENRIQUEZ,BUSINESSMAN,3000,PROFESSIONAL,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,4900,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,HOUSEWIFE,4100,PROFESSIONAL,PROFESSIONAL,MOTHER
SALINA CRUZ,XOMOTLA,59,14000,ADMINISTRATIVE,HACIENDA LA LUZ,50,BOCHIL,PRIMARY SCHOOL TEACHER,600,PREPARATORY,OTHER,OTHER
XALAPA-ENRIQUEZ,COATEPEC,34,10000,PSYCHOLOGIST,TUXTEPEC,26,TLALNEPANTLA,DOCTOR,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,5000,BUSINESSMAN,XALAPA-ENRIQUEZ,31,EMILIANO ZAPATA,BUSINESSMAN,5000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,MARTINEZ DE LA TORRE,28,4200,EMPLOYEE,INDEPENDENCE,27,XALAPA-ENRIQUEZ,TEACHER,5,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,4000,ING. AGRONOMIST,CORDOVA,27,XALAPA-ENRIQUEZ,EXECUTIVE SECRETARY,640,PREPARATORY,PREPARATORY,MOTHER
CATEMAC,ARROYO DEL POTRERO,49,3000,RANCHER,ANGEL R. CABADA,39,XALAPA-ENRIQUEZ,HOME DUTIES,2700,PRIMARY,HIGH SCHOOL,MOTHER
MINATITLAN,SAN JUAN GUICHICOVI,56,950,BANK EMPLOYEE,TEPETATES,33,FEDERAL DISTRICT,SINGER,13569,PROFESSIONAL,PROFESSIONAL,MOTHER
PORT ANGEL,THE JEWEL,20,4700,STORER,TAMPICO,77,OLD RANCH,DRIVER,708652,WITHOUT SCHOOLING,OTHER,MOTHER
ZAPOPAN,TAMPICO,42,8300,SECRETARY,FEDERAL DISTRICT,30,TIJUANA,EMPLOYEE,8000,PREPARATORY,PREPARATORY,DAD
PEACE,POLAND,67,5000,CIVIL SERVANT,MARANGE,30,VILLA INDEPENDENCIA,PUBLIC SINGER,1900,PROFESSIONAL,PREPARATORY,DAD
CALETA DE CAMPOS,CHILTOYAC,64,6300,LABORATORY,THE KINGS,29,PEACE,SOCIAL WORKER,7500,HIGH SCHOOL,PREPARATORY,OTHER
CEMPOALA,SAINT JULIAN,37,5400,SHEPHERD,THE TIZAL,36,YAUTEPEC,SURGEON,13706,PREPARATORY,PREPARATORY,OTHER
PUEBLA,PUEBLA,57,41000,CABBIE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,HOUSEWIFE,5900,PRIMARY,HIGH SCHOOL,OTHER
IXTACZOQUITLAN,MAZATEPEC,61,6063.48,ALBA√ëIL,THE ANIMES,74,REFORM,GRAPHIC DESIGNER,200000,OTHER,PRIMARY,OTHER
XALAPA-ENRIQUEZ,WHITE LAND,38,3500,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,PROFESSIONAL,MOTHER
MANDEVILLE,ITZICTIC,37,3600,CHEF,THE JICARO,20,CARDENAS TABASCO,LAUDERA,1440,HIGH SCHOOL,PROFESSIONAL,OTHER
EMILIANO ZAPATA,XALAPA - ENRIQUEZ,39,3500,EMPLOYEE,MORELIA,33,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,HIGH SCHOOL,DAD
TEAPAN,SAN ANDRES TUXTLA,39,5700,AUDITOR,TLAXCALA,52,CARMEN BEACH,SURGEON,24000,HIGH SCHOOL,WITHOUT SCHOOLING,OTHER
PANUCO,THE PITAL,59,3150242,LIC. IN RIGHT,THE VEGA,36,VILLA JUANITA,COMMISSIONIST,7800,HIGH SCHOOL,OTHER,DAD
THE FISHES,KILLINGS,19,60000,LITIGANT,SAN JUAN ARAGON,36,AZCAPOTZALCO,PRIVATE TEACHER,65000,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
TIJUANA,REFORM,42,14500,CAPTAIN OF HEIGHT,PINOLTEPEC,36,FLAT,SEAMSTRESS,1100,PRIMARY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,20000,EMPLOYEE,VERACRUZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,12000,PROFESSIONAL,PROFESSIONAL,MOTHER
JULIO CASTRO,ITZICTIC,29,10,ACCOUNTANT,APIZACO,55,HOPPER,EXECUTIVE,4336,PREPARATORY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,63,3,ASSISTANT,XALAPA-ENRIQUEZ,50,XALAPA-ENRIQUEZ,TEACHER,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TLACOLULAN,38,2500,ELECTRONICS TECHNICIAN,TLALIXCOYAN,37,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PREPARATORY,PREPARATORY,MOTHER
THE OLD ONE,ZOMELAHUACAN,72,5900,ARCHITECT,JUCHIQUE DE FERRER,40,CORDOVA,PUBLIC SINGER,3440,HIGH SCHOOL,PRIMARY,MOTHER
COATEPEC,XALAPA - ENRIQUEZ,46,6000,TEACHER,XALAPA-ENRIQUEZ,41,COATEPEC,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
COATEPEC,JILOTEPEC,27,7500,AERONAUT,GALEANA BROTHERS,35,SAN JUAN DEL RIO,MILITARY NURSE,1800,PRIMARY,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,5000,GOVERNMENT EMPLOYEE,FEDERAL DISTRICT,30,XALAPA-ENRIQUEZ,DENTAL PROSTHESIST,6640,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,2400,PEDESTAL TABLE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,HOUSEWIFE,2000,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,2800,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,800,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,52,20000,PUBLIC EMPLOYEE,NAOLINCO,46,XALAPA-ENRIQUEZ,HOUSEWIFE,1530,PROFESSIONAL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,53,15000,AIRPLANE PILOT,ORIZABA,44,XALAPA-ENRIQUEZ,PEDAGOGUE,5000,PROFESSIONAL,PROFESSIONAL,DAD
XOLOXTLA,THE RAISINS,40,80000,LABORATORY,SAN JOSE DEL CABO,37,FEDERAL DISTRICT,CODICTOR,2800,OTHER,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,55,3500,EMPLOYEE,TUZAMAPAN,53,XALAPA-ENRIQUEZ,HOME DUTIES,1930,WITHOUT SCHOOLING,OTHER,DAD
SARAGOSSA,URSULO GALVAN,40,708652,CIVIL SERVANT,FEDERAL DISTRICT,37,EL CARMEN,LAWYER,2700,OTHER,OTHER,OTHER
